#
# Start GPU tests
#
hops63[3], 4.744e+04
hops45[3], 4.703e+04
hops5[2], 4.773e+04
hops11[2], 4.748e+04
hops32[3], 4.583e+04
hops17[3], 4.654e+04
hops25[3], 4.750e+04
hops23[2], 4.525e+04
hops41[3], 4.685e+04
hops59[3], 4.760e+04
hops54[3], 4.830e+04
hops56[3], 4.780e+04
hops55[3], 4.818e+04
hops22[3], 4.691e+04
hops48[2], 4.668e+04
hops27[2], 4.552e+04
hops1[2], 4.749e+04
hops21[2], 4.764e+04
hops38[2], 4.744e+04
hops47[2], 4.742e+04
hops52[2], 4.736e+04
hops28[2], 4.729e+04
hops12[2], 4.800e+04
hops50[2], 4.768e+04
hops16[2], 4.771e+04
hops37[2], 4.726e+04
hops49[2], 4.746e+04
hops5[3], 4.771e+04
hops11[3], 4.781e+04
hops23[3], 4.743e+04
hops48[3], 4.728e+04
hops27[3], 4.732e+04
hops1[3], 4.720e+04
hops50[3], 4.757e+04
hops38[3], 4.750e+04
hops16[3], 4.726e+04
hops21[3], 4.695e+04
hops12[3], 4.756e+04
hops52[3], 4.724e+04
hops28[3], 4.679e+04
hops49[3], 4.712e+04
hops47[3], 4.710e+04
hops37[3], 4.679e+04
#
# Start Full Node Tests
#
hops46, 1.726e+05
hops51, 1.718e+05
hops64, 1.766e+05
hops43, 1.755e+05
hops33, 1.759e+05
hops2, 1.741e+05
hops9, 1.767e+05
hops3, 1.751e+05
hops14, 1.755e+05
hops40, 1.759e+05
hops4, 1.770e+05
hops20, 1.779e+05
hops30, 1.769e+05
hops61, 1.746e+05
hops19, 1.766e+05
hops35, 1.778e+05
hops29, 1.769e+05
hops42, 1.761e+05
hops10, 1.752e+05
hops7, 1.775e+05
hops13, 1.771e+05
hops8, 1.764e+05
hops15, 1.782e+05
hops6, 1.756e+05
hops17, 1.737e+05
hops31, 1.768e+05
hops24, 1.771e+05
hops62, 1.759e+05
hops53, 1.774e+05
hops57, 1.732e+05
hops44, 1.783e+05
hops34, 1.774e+05
hops45, 1.738e+05
hops36, 1.738e+05
hops63, 1.759e+05
hops39, 1.718e+05
hops56, 1.774e+05
hops32, 1.764e+05
hops26, 1.749e+05
hops54, 1.774e+05
hops25, 1.774e+05
hops59, 1.764e+05
hops41, 1.750e+05
hops22, 1.754e+05
hops55, 1.772e+05
hops11, 1.755e+05
hops50, 1.772e+05
hops12, 1.773e+05
hops52, 1.755e+05
hops27, 1.764e+05
hops47, 1.733e+05
hops16, 1.765e+05
